cases,deaths,countriesAndTerritories,dateRep,countryterritoryCode,popData2019,contintent
0,0,Uzbekistan,2020-12-06,UZB,33580650.0,Asia
0,0,Vanuatu,2020-12-06,VUT,299882.0,Oceania
300,3,Venezuela,2020-12-06,VEN,28515829.0,Americas
4,0,Vietnam,2020-12-06,VNM,96462106.0,Asia
1422,15,West Bank and Gaza,2020-12-06,PSE,4685306.0,Asia
0,0,Western Sahara,2020-12-06,ESH,,
37,6,Yemen,2020-12-06,YEM,29161922.0,Asia
41,0,Zambia,2020-12-06,ZMB,17861030.0,Africa
70,10,Zimbabwe,2020-12-06,ZWE,14645468.0,Africa
0,0,Afghanistan,2020-12-05,AFG,38041754.0,Asia
801,18,Albania,2020-12-05,ALB,2854191.0,Europe
803,12,Algeria,2020-12-05,DZA,43053054.0,Africa
51,0,Andorra,2020-12-05,AND,77142.0,Europe
132,1,Angola,2020-12-05,AGO,31825295.0,Africa
0,0,Antigua and Barbuda,2020-12-05,ATG,97118.0,Americas
6899,207,Argentina,2020-12-05,ARG,44938712.0,Americas
1184,23,Armenia,2020-12-05,ARM,2957731.0,Asia
7,0,Australia,2020-12-05,AUS,25364307.0,Oceania
3815,113,Austria,2020-12-05,AUT,8877067.0,Europe
4267,41,Azerbaijan,2020-12-05,AZE,10023318.0,Asia
16,0,Bahamas,2020-12-05,BHS,389482.0,Americas
168,0,Bahrain,2020-12-05,BHR,1641172.0,Asia
2252,24,Bangladesh,2020-12-05,BGD,163046161.0,Asia
3,0,Barbados,2020-12-05,BRB,287025.0,Americas
1774,9,Belarus,2020-12-05,BLR,9466856.0,Europe
2582,109,Belgium,2020-12-05,BEL,11484055.0,Europe
147,6,Belize,2020-12-05,BLZ,390353.0,Americas
0,0,Benin,2020-12-05,BEN,11801151.0,Africa
6,0,Bhutan,2020-12-05,BTN,763092.0,Asia
139,5,Bolivia,2020-12-05,BOL,11513100.0,Americas
1254,53,Bosnia and Herzegovina,2020-12-05,BIH,3301000.0,Europe
0,0,Botswana,2020-12-05,BWA,2303697.0,Africa
46884,694,Brazil,2020-12-05,BRA,211049527.0,Americas
0,0,Brunei,2020-12-05,BRN,433285.0,Asia
3614,147,Bulgaria,2020-12-05,BGR,6975761.0,Europe
29,0,Burkina Faso,2020-12-05,BFA,20321378.0,Africa
1502,31,Burma,2020-12-05,MMR,54045420.0,Asia
0,0,Burundi,2020-12-05,BDI,11530580.0,Africa
58,1,Cabo Verde,2020-12-05,CPV,549935.0,Africa
10,0,Cambodia,2020-12-05,KHM,16486542.0,Asia
265,2,Cameroon,2020-12-05,CMR,25876380.0,Africa
6419,96,Canada,2020-12-05,CAN,37589262.0,Americas
0,0,Central African Republic,2020-12-05,CAF,4745185.0,Africa
11,0,Chad,2020-12-05,TCD,15946876.0,Africa
1729,39,Chile,2020-12-05,CHL,18952038.0,Americas
127,1,China,2020-12-05,CHN,1397715000.0,Asia
9285,162,Colombia,2020-12-05,COL,50339443.0,Americas
0,0,Comoros,2020-12-05,COM,850886.0,Africa
0,0,Congo (Brazzaville),2020-12-05,COG,5380508.0,Africa
149,0,Congo (Kinshasa),2020-12-05,COD,86790567.0,Africa
1180,16,Costa Rica,2020-12-05,CRI,5047561.0,Americas
23,0,Cote d'Ivoire,2020-12-05,CIV,25716544.0,Africa
3955,68,Croatia,2020-12-05,HRV,4067500.0,Europe
79,0,Cuba,2020-12-05,CUB,11333483.0,Americas
289,3,Cyprus,2020-12-05,CYP,1198575.0,Asia
4743,97,Czechia,2020-12-05,CZE,10669709.0,Europe
1603,9,Denmark,2020-12-05,DNK,5818553.0,Europe
1,0,Djibouti,2020-12-05,DJI,973560.0,Africa
0,0,Dominica,2020-12-05,DMA,71808.0,Americas
671,8,Dominican Republic,2020-12-05,DOM,10738958.0,Americas
598,84,Ecuador,2020-12-05,ECU,17373662.0,Americas
427,19,Egypt,2020-12-05,EGY,100388073.0,Africa
588,8,El Salvador,2020-12-05,SLV,6453553.0,Americas
0,0,Equatorial Guinea,2020-12-05,GNQ,1355986.0,Africa
38,0,Eritrea,2020-12-05,ERI,,Africa
470,2,Estonia,2020-12-05,EST,1326590.0,Europe
6,0,Eswatini,2020-12-05,SWZ,1148130.0,Africa
512,10,Ethiopia,2020-12-05,ETH,112078730.0,Africa
2,0,Fiji,2020-12-05,FJI,889953.0,Oceania
336,0,Finland,2020-12-05,FIN,5520314.0,Europe
11107,625,France,2020-12-05,FRA,67059887.0,Europe
15,0,Gabon,2020-12-05,GAB,2172579.0,Africa
1,0,Gambia,2020-12-05,GMB,2347706.0,Africa
5068,38,Georgia,2020-12-05,GEO,3720382.0,Asia
15970,480,Germany,2020-12-05,DEU,83132799.0,Europe
429,2,Ghana,2020-12-05,GHA,30417856.0,Africa
